date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date_parsed,nav_float
21-12-2022,60.37150,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-21,60.3715
20-12-2022,61.17080,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-20,61.1708
19-12-2022,61.38390,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-19,61.3839
16-12-2022,60.97430,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-16,60.9743
15-12-2022,61.53090,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-15,61.5309
14-12-2022,62.21390,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-14,62.2139
13-12-2022,61.95660,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-13,61.9566
12-12-2022,61.76560,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-12,61.7656
09-12-2022,61.59930,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-09,61.5993
08-12-2022,61.96500,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-08,61.965
07-12-2022,61.64930,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-07,61.6493
06-12-2022,61.73690,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-06,61.7369
05-12-2022,61.94120,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-05,61.9412
02-12-2022,61.95670,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-02,61.9567
01-12-2022,62.19390,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-12-01,62.1939
30-11-2022,62.00740,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-30,62.0074
29-11-2022,61.54720,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-29,61.5472
28-11-2022,61.47370,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-28,61.4737
25-11-2022,61.36140,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-25,61.3614
24-11-2022,61.09130,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-24,61.0913
23-11-2022,60.39640,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-23,60.3964
22-11-2022,60.29460,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-22,60.2946
21-11-2022,60.00890,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-21,60.0089
18-11-2022,60.40630,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-18,60.4063
17-11-2022,60.69650,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-17,60.6965
16-11-2022,60.90490,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-16,60.9049
15-11-2022,60.99130,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-15,60.9913
14-11-2022,60.81770,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-14,60.8177
11-11-2022,61.03100,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-11,61.031
10-11-2022,60.16950,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-10,60.1695
09-11-2022,60.65810,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-09,60.6581
07-11-2022,60.77990,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-07,60.7799
04-11-2022,60.35650,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-04,60.3565
03-11-2022,60.34160,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-03,60.3416
02-11-2022,60.46810,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-02,60.4681
01-11-2022,60.48320,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-11-01,60.4832
31-10-2022,60.09290,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-31,60.0929
28-10-2022,59.33510,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-28,59.3351
27-10-2022,59.47580,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-27,59.4758
25-10-2022,59.19570,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-25,59.1957
21-10-2022,58.77790,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-21,58.7779
20-10-2022,58.91490,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-20,58.9149
19-10-2022,58.88040,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-19,58.8804
18-10-2022,58.79430,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-18,58.7943
17-10-2022,58.07790,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-17,58.0779
14-10-2022,57.69030,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-14,57.6903
13-10-2022,57.30170,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-13,57.3017
12-10-2022,57.76000,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-12,57.76
11-10-2022,57.24070,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-11,57.2407
10-10-2022,58.01590,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-10,58.0159
07-10-2022,58.37470,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-07,58.3747
06-10-2022,58.40780,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-06,58.4078
04-10-2022,58.07730,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-04,58.0773
03-10-2022,56.80060,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-10-03,56.8006
30-09-2022,57.29550,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-30,57.2955
29-09-2022,56.36870,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-29,56.3687
28-09-2022,56.30030,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-28,56.3003
27-09-2022,56.86730,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-27,56.8673
26-09-2022,56.79170,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-26,56.7917
23-09-2022,58.04240,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-23,58.0424
22-09-2022,59.08470,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-22,59.0847
21-09-2022,59.30530,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-21,59.3053
20-09-2022,59.49540,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-20,59.4954
19-09-2022,58.84680,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-19,58.8468
16-09-2022,58.54080,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-16,58.5408
15-09-2022,59.82140,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-15,59.8214
14-09-2022,59.96780,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-14,59.9678
13-09-2022,60.01680,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-13,60.0168
12-09-2022,59.52750,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-12,59.5275
09-09-2022,59.22610,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-09,59.2261
08-09-2022,59.14300,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-08,59.143
07-09-2022,58.71600,118632,Nippon_Large_Cap,Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,2022-09-07,58.716
