date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date_parsed,nav_float
20-03-2013,30.98190,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-20,30.9819
19-03-2013,30.98340,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-19,30.9834
18-03-2013,30.98840,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-18,30.9884
15-03-2013,30.99110,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-15,30.9911
14-03-2013,30.95910,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-14,30.9591
13-03-2013,30.94390,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-13,30.9439
12-03-2013,30.94940,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-12,30.9494
11-03-2013,30.95350,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-11,30.9535
08-03-2013,30.94550,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-08,30.9455
07-03-2013,30.93510,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-07,30.9351
06-03-2013,30.93390,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-06,30.9339
05-03-2013,30.92550,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-05,30.9255
04-03-2013,30.90060,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-04,30.9006
01-03-2013,30.87710,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-03-01,30.8771
28-02-2013,30.88230,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-02-28,30.8823
27-02-2013,30.86920,120841,Kotak_Bluechip,quant Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,2013-02-27,30.8692
