date,nav,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,date_parsed,nav_float
19-07-2024,200.73470,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-19,200.7347
18-07-2024,203.60470,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-18,203.6047
16-07-2024,204.64390,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-16,204.6439
15-07-2024,204.26510,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-15,204.2651
12-07-2024,204.37660,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-12,204.3766
11-07-2024,205.33260,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-11,205.3326
10-07-2024,204.00500,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-10,204.005
09-07-2024,204.74340,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-09,204.7434
08-07-2024,203.95050,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-08,203.9505
05-07-2024,204.89210,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-05,204.8921
04-07-2024,203.57230,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-04,203.5723
03-07-2024,202.90490,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-03,202.9049
02-07-2024,200.59120,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-02,200.5912
01-07-2024,200.45560,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-07-01,200.4556
30-06-2024,197.87550,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-30,197.8755
28-06-2024,197.87460,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-28,197.8746
27-06-2024,197.54100,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-27,197.541
26-06-2024,198.68260,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-26,198.6826
25-06-2024,199.28880,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-25,199.2888
24-06-2024,198.96450,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-24,198.9645
21-06-2024,198.84530,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-21,198.8453
20-06-2024,198.73210,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-20,198.7321
19-06-2024,197.86450,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-19,197.8645
18-06-2024,198.25160,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-18,198.2516
14-06-2024,198.12810,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-14,198.1281
13-06-2024,196.43830,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-13,196.4383
12-06-2024,195.44150,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-12,195.4415
11-06-2024,193.73580,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-11,193.7358
10-06-2024,192.35180,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-10,192.3518
07-06-2024,189.56980,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-07,189.5698
06-06-2024,186.50830,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-06,186.5083
05-06-2024,183.04960,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-05,183.0496
04-06-2024,178.35910,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-04,178.3591
03-06-2024,186.91550,125497,HDFC_Top_100_Direct,SBI Mutual Fund,Open Ended Schemes,Equity Scheme - Small Cap Fund,2024-06-03,186.9155
